k_avg,k_std,m_avg,m_std,m_ang_std,activity
0.0,0.0,1294.5186426958344,927.397601118259,1.3114920891831727,985
0.0,0.0,1598.59246407605,1286.2518588294097,1.8667832561771587,2814
0.23200043042500815,0.1809170587393538,1128.6775483165688,757.0094355018446,1.99040251089805,2051
0.0,0.0,1963.730474700508,1913.115691658488,1.5875554704306927,3736
0.0,0.0,1664.7710543757526,1491.58531086615,1.9499065459971756,4204
0.20334710677464804,0.18375682161792808,1736.7126051340897,1581.9373017581324,1.7990097001242455,3465
0.19179036336786606,0.24420995141035035,1099.1240835155552,911.8445812230583,1.0790902781398286,404
0.29042160511016846,0.4264813497308224,806.4694156914118,454.1470571796825,2.051662925876273,1120
0.16064587331587268,0.23675764101874547,0.0,0.0,0.0,63
0.1316399319966634,0.17285047169583412,0.0,0.0,0.0,76
0.19925618739355178,0.3138476425190025,1758.433213235978,1261.363042952157,1.8703128237746312,2800
0.0,0.0,746.4343794823992,458.2896915364218,1.5343411649685998,1647
0.0,0.0,381.7368108821701,346.206707223754,2.0440470040999177,379
0.0,0.0,627.1532313868058,494.5002892705481,1.200080774008862,733
0.0,0.0,651.2351352963044,610.0764246511103,1.7882923848158307,1492
0.0,0.0,1375.701345861844,1072.1703406917325,1.8624186224678039,2787
0.0,0.0,2253.61180008644,1881.7112070158169,1.8687737353818992,4450
0.0,0.0,1157.3415529837182,745.0482221697329,1.8062903462284097,2589
0.191953216280256,0.08145102036150399,2263.3031777974775,2363.9193556730156,1.6815914616338656,2360
0.11658243338267009,0.1272696936969324,0.0,0.0,0.0,85
0.11991831193487328,0.1664754527785811,0.0,0.0,0.0,84
0.09916057331221444,0.09375171406837941,1292.7459918515115,1219.031639252443,1.7026406956930793,1174
0.19099576132638113,0.2872402071214021,1544.0541690036919,1680.1332917494187,1.6846307690953448,1860
0.07680169741312663,0.07033792712334623,2559.5060448276167,2220.8471630699023,1.6128220377848816,2553
0.07075203486851284,0.056415053077794465,0.0,0.0,0.0,141
0.08739367631765513,0.0909239817602255,2033.0873670302465,1216.520076476138,1.762847442844723,1581
0.13052499085141903,0.1542746310901912,226.3246553149038,348.3295704254255,0.7384165593170823,98
0.17119469112820096,0.24638425165176966,0.0,0.0,0.0,47
0.11312782764434814,0.09729424552964382,0.0,0.0,0.0,87
0.16319291932242258,0.17903636389190167,1662.24292092471,1207.917163405806,1.8985557020444406,1596
0.0,0.0,886.9513998304135,587.5563669624529,1.3797506231435894,1076
0.0,0.0,669.1758682847752,471.0043613586453,1.618304229873719,592
0.0,0.0,1230.9957137820413,809.9600650667539,1.9311767922892216,2402
0.0,0.0,888.2411614827844,619.2487695612564,1.5468339742048403,1544
0.0,0.0,736.0409015030405,373.4085082074907,1.1938285578802525,183
0.0,0.0,1115.3553109141887,984.105117493397,1.7730436444505235,1319
0.0,0.0,1030.8681601800017,678.3640536734438,2.112114093923208,2884
0.0,0.0,1644.010942492061,1541.832649176499,1.899273877763511,2732
0.0,0.0,1047.892144999633,1022.8873450830976,1.2324694751064604,1595
0.19179757436116537,0.11866541581143145,1276.4744726799013,1013.8837517450099,1.9230065015867306,2288
0.2213300863901774,0.2497794891172078,1050.856942800815,957.1507279346042,2.058604783793412,1176
0.3786471684773763,0.3514229216024138,689.3590153856452,633.6845478381172,1.5984682569425674,588
0.0,0.0,1987.5927454312227,2102.231367747778,1.692276330912633,2664
0.0,0.0,1940.8364281925703,1414.2140678731917,1.4244077180371726,1611
0.0,0.0,1800.5763405520986,1494.243193462291,2.2837909326214962,714
0.0,0.0,765.3406718651046,424.8836735840151,1.6990374643601547,421
0.0,0.0,0.0,0.0,0.0,14
0.0,0.0,2095.6559505045834,1978.116014177416,1.6146930927864138,1409
0.0,0.0,2376.5821770211596,13361.21002661841,1.6376779238152683,2197
0.0,0.0,1507.514146254929,1105.5233098132915,2.0851632656375547,3284
0.0,0.0,574.8634470497293,514.3759157805026,0.9635252595456094,649
0.0,0.0,124.23290833320763,117.90464607017731,1.3463968515384825,51
0.0,0.0,471.60579829446675,359.0633591949292,1.6049392252542694,358
0.0,0.0,156.21897358940282,162.35239152901025,0.804033949100898,67
0.0,0.0,703.7163340949159,452.1408299468664,1.7026077922780567,1482
0.0,0.0,814.3924574113514,680.355129398437,1.805569623902819,1355
0.0,0.0,482.1351687738627,361.5571829083425,1.7342952833945864,282
